"Row"	"Column"	"Gene"	"Size"	"Media"	"Time.Point"	"Temp"	"Array"	"Condition"	"Well"
15	28	"C1C1 rho c1e1 pr40"	238	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c28"
15	29	"C1C1 rho c1e1 pr40"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c29"
15	30	"C1C1 rho c1e1 pr40"	230	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c30"
15	31	"C1C1 rho c1e1 pr40"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c31"
15	34	"C1C1 rho c1e1 pr41"	248	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c34"
15	35	"C1C1 rho c1e1 pr41"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c35"
15	36	"C1C1 rho c1e1 pr41"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c36"
15	37	"C1C1 rho c1e1 pr41"	255	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c37"
15	38	"C1C1 rho c1e1 pr41"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c38"
15	39	"C1C1 rho c1e1 pr41"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c39"
15	42	"C1C1 rho c1e1 pr42"	292	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c42"
15	43	"C1C1 rho c1e1 pr42"	337	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c43"
15	44	"C1C1 rho c1e1 pr42"	520	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c44"
15	45	"C1C1 rho c1e1 pr42"	263	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c45"
15	46	"C1C1 rho c1e1 pr42"	267	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c46"
18	3	"C1C1 rho c1e1 pr49"	238	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c3"
18	4	"C1C1 rho c1e1 pr49"	284	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c4"
18	5	"C1C1 rho c1e1 pr49"	230	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c5"
18	6	"C1C1 rho c1e1 pr49"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c6"
18	7	"C1C1 rho c1e1 pr49"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c7"
18	10	"C1C1 rho c1e1 pr50"	261	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c10"
18	11	"C1C1 rho c1e1 pr50"	261	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c11"
18	12	"C1C1 rho c1e1 pr50"	257	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c12"
18	13	"C1C1 rho c1e1 pr50"	263	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c13"
18	14	"C1C1 rho c1e1 pr50"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c14"
18	15	"C1C1 rho c1e1 pr50"	268	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c15"
18	18	"C1C1 rho c1e1 pr51"	248	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c18"
18	19	"C1C1 rho c1e1 pr51"	241	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c19"
18	20	"C1C1 rho c1e1 pr51"	251	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c20"
18	21	"C1C1 rho c1e1 pr51"	246	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c21"
18	22	"C1C1 rho c1e1 pr51"	239	"YPEG"	0	"37"	"1"	"YPEG_37"	"r18c22"
