"Row"	"Column"	"Gene"
7	11	"C1C1 rho c1e1 pr14"
7	12	"C1C1 rho c1e1 pr14"
7	13	"C1C1 rho c1e1 pr14"
7	14	"C1C1 rho c1e1 pr14"
7	15	"C1C1 rho c1e1 pr14"
7	16	"C1C1 rho c1e1 pr14"
7	17	"C1C1 rho c1e1 pr15"
7	18	"C1C1 rho c1e1 pr15"
7	19	"C1C1 rho c1e1 pr15"
7	20	"C1C1 rho c1e1 pr15"
7	21	"C1C1 rho c1e1 pr15"
7	22	"C1C1 rho c1e1 pr15"
7	23	"C1C1 rho c1e1 pr15"
7	24	"C1C1 rho c1e1 pr15"
7	25	"C1C1 rho c1e1 pr16"
7	26	"C1C1 rho c1e1 pr16"
7	27	"C1C1 rho c1e1 pr16"
7	28	"C1C1 rho c1e1 pr16"
7	29	"C1C1 rho c1e1 pr16"
7	30	"C1C1 rho c1e1 pr16"
7	31	"C1C1 rho c1e1 pr16"
7	32	"C1C1 rho c1e1 pr16"
7	33	"C1C1 rho c1e1 pr17"
7	34	"C1C1 rho c1e1 pr17"
7	35	"C1C1 rho c1e1 pr17"
7	36	"C1C1 rho c1e1 pr17"
7	37	"C1C1 rho c1e1 pr17"
7	38	"C1C1 rho c1e1 pr17"
7	39	"C1C1 rho c1e1 pr17"
7	40	"C1C1 rho c1e1 pr17"
7	41	"C1C1 rho c1e1 pr18"
7	42	"C1C1 rho c1e1 pr18"
7	43	"C1C1 rho c1e1 pr18"
7	44	"C1C1 rho c1e1 pr18"
7	45	"C1C1 rho c1e1 pr18"
7	46	"C1C1 rho c1e1 pr18"
7	47	"C1C1 rho c1e1 pr18"
7	48	"C1C1 rho c1e1 pr18"
8	1	"C1C1 rho c1e1 pr13"
8	2	"C1C1 rho c1e1 pr13"
8	3	"C1C1 rho c1e1 pr13"
8	4	"C1C1 rho c1e1 pr13"
8	5	"C1C1 rho c1e1 pr13"
8	6	"C1C1 rho c1e1 pr13"
8	7	"C1C1 rho c1e1 pr13"
8	8	"C1C1 rho c1e1 pr13"
8	9	"C1C1 rho c1e1 pr14"
8	10	"C1C1 rho c1e1 pr14"
8	11	"C1C1 rho c1e1 pr14"
8	12	"C1C1 rho c1e1 pr14"
8	13	"C1C1 rho c1e1 pr14"
8	14	"C1C1 rho c1e1 pr14"
8	15	"C1C1 rho c1e1 pr14"
8	16	"C1C1 rho c1e1 pr14"
8	17	"C1C1 rho c1e1 pr15"
8	18	"C1C1 rho c1e1 pr15"
8	19	"C1C1 rho c1e1 pr15"
8	20	"C1C1 rho c1e1 pr15"
8	21	"C1C1 rho c1e1 pr15"
8	22	"C1C1 rho c1e1 pr15"
8	23	"C1C1 rho c1e1 pr15"
8	24	"C1C1 rho c1e1 pr15"
8	25	"C1C1 rho c1e1 pr16"
8	26	"C1C1 rho c1e1 pr16"
8	27	"C1C1 rho c1e1 pr16"
8	28	"C1C1 rho c1e1 pr16"
8	29	"C1C1 rho c1e1 pr16"
8	30	"C1C1 rho c1e1 pr16"
8	31	"C1C1 rho c1e1 pr16"
8	32	"C1C1 rho c1e1 pr16"
8	33	"C1C1 rho c1e1 pr17"
8	34	"C1C1 rho c1e1 pr17"
8	35	"C1C1 rho c1e1 pr17"
8	36	"C1C1 rho c1e1 pr17"
8	37	"C1C1 rho c1e1 pr17"
8	38	"C1C1 rho c1e1 pr17"
8	39	"C1C1 rho c1e1 pr17"
8	40	"C1C1 rho c1e1 pr17"
8	41	"C1C1 rho c1e1 pr18"
8	42	"C1C1 rho c1e1 pr18"
8	43	"C1C1 rho c1e1 pr18"
8	44	"C1C1 rho c1e1 pr18"
8	45	"C1C1 rho c1e1 pr18"
8	46	"C1C1 rho c1e1 pr18"
8	47	"C1C1 rho c1e1 pr18"
8	48	"C1C1 rho c1e1 pr18"
9	1	"C1C1 rho c1e1 pr25"
9	2	"C1C1 rho c1e1 pr25"
9	3	"C1C1 rho c1e1 pr25"
9	4	"C1C1 rho c1e1 pr25"
9	5	"C1C1 rho c1e1 pr25"
9	6	"C1C1 rho c1e1 pr25"
9	7	"C1C1 rho c1e1 pr25"
9	8	"C1C1 rho c1e1 pr25"
9	9	"C1C1 rho c1e1 pr26"
9	10	"C1C1 rho c1e1 pr26"
9	11	"C1C1 rho c1e1 pr26"
9	12	"C1C1 rho c1e1 pr26"
9	13	"C1C1 rho c1e1 pr26"
9	14	"C1C1 rho c1e1 pr26"
9	15	"C1C1 rho c1e1 pr26"
9	16	"C1C1 rho c1e1 pr26"
9	17	"C1C1 rho c1e1 pr27"
9	18	"C1C1 rho c1e1 pr27"
9	19	"C1C1 rho c1e1 pr27"
9	20	"C1C1 rho c1e1 pr27"
